x,y,z
-0.614,-0.472,8.0
-0.585,-0.438,8.0
-0.549,-0.395,8.0
-0.505,-0.479,9.0
-0.452,-0.42,9.0
-0.419,-0.244,8.0
-0.39,-0.479,10.0
-0.359,-0.314,9.0
-0.307,-0.392,10.0
-0.292,-0.236,9.0
-0.263,-0.349,10.0
-0.235,-0.479,11.0
-0.234,-0.171,9.0
-0.226,-0.316,10.0
-0.218,-0.007,8.0
-0.204,-0.453,11.0
-0.186,-0.116,9.0
-0.171,0.053,8.0
-0.167,-0.425,11.0
-0.167,-0.263,10.0
-0.141,-0.069,9.0
-0.131,-0.235,10.0
-0.13,-0.4,11.0
-0.118,0.135,8.0
-0.109,-0.036,9.0
-0.102,-0.216,10.0
-0.082,-0.379,11.0
-0.077,-0.008,9.0
-0.076,-0.202,10.0
-0.068,0.229,8.0
-0.053,0.009,9.0
-0.05,-0.368,11.0
-0.048,-0.189,10.0
-0.039,0.015,9.0
-0.032,-0.184,10.0
-0.032,0.319,8.0
-0.03,-0.364,11.0
-0.018,-0.181,10.0
-0.015,0.023,9.0
-0.015,0.388,8.0
-0.008,0.43,8.0
-0.007,-0.18,10.0
-0.007,0.024,9.0
-0.004,-0.361,11.0
-0.002,-0.479,11.7
-0.002,0.518,8.0
0.0,-0.477,11.7
0.0,-0.361,11.0
0.0,-0.179,10.0
0.0,0.024,9.0
0.002,-0.479,11.7
0.002,0.518,8.0
0.004,-0.361,11.0
0.007,-0.18,10.0
0.007,0.024,9.0
0.008,0.43,8.0
0.015,0.023,9.0
0.015,0.388,8.0
0.018,-0.181,10.0
0.03,-0.364,11.0
0.032,-0.184,10.0
0.032,0.319,8.0
0.039,0.015,9.0
0.048,-0.189,10.0
0.05,-0.368,11.0
0.053,0.009,9.0
0.068,0.229,8.0
0.076,-0.202,10.0
0.077,-0.008,9.0
0.082,-0.379,11.0
0.102,-0.216,10.0
0.109,-0.036,9.0
0.118,0.135,8.0
0.13,-0.4,11.0
0.131,-0.235,10.0
0.141,-0.069,9.0
0.167,-0.425,11.0
0.167,-0.263,10.0
0.171,0.053,8.0
0.186,-0.116,9.0
0.204,-0.453,11.0
0.218,-0.007,8.0
0.226,-0.316,10.0
0.234,-0.171,9.0
0.235,-0.479,11.0
0.263,-0.349,10.0
0.292,-0.236,9.0
0.307,-0.392,10.0
0.359,-0.314,9.0
0.39,-0.479,10.0
0.419,-0.244,8.0
0.452,-0.42,9.0
0.505,-0.479,9.0
0.549,-0.395,8.0
0.585,-0.438,8.0
0.614,-0.472,8.0
